Individual	Sex/Age	SVL (mm)	Left	Right
1	Juvenil	23.74	2	8
2	Male	24.80	2	8
3	Male	27.57	5	5
4	Juvenil	22.51	1	9
5	Juvenil	20.55	3	7
6	Juvenil	18.07	2	8
7	Fêmea	31.76	5	5
8	Fêmea	27.32	4	6
9	Juvenil	28.52	1	9
10	Juvenil	25.18	4	6
11	Juvenil	22.88	6	4
12	Fêmea	35.28	3	7
13	Juvenil	20.52	8	2
14	Macho	28.60	7	3
15	Fêmea	30.52	7	3
16	Fêmea	32.59	5	5
17	Macho	28.09	3	7
18	Fêmea	27.56	1	9
19	Juvenil	26.14	3	7
20	Fêmea	28.51	3	7
21	Juvenil	22.71	5	5
22	Juvenil	23.94	3	7
23	Juvenil	24.52	4	6
24	Juvenil	23.34	6	4
25	Macho	26.98	3	7
26	Macho	27.53	6	4
27	Fêmea	23.64	8	2
28	Juvenil	21.57	5	5
29	Juvenil	18.39	9	1
30	Fêmea	26.06	8	2
31	Macho	32.72	1	9
32	Macho	32.57	4	6
33	Fêmea	39.96	7	3
34	Macho	30.68	4	6
35	Fêmea	35.86	2	8
36	Macho	36.50	0	10
37	Macho	29.28	3	7
38	Macho	27.19	4	6
39	Macho	27.58	6	4
40	Fêmea	32.31	2	8
41	Macho	28.35	7	3
42	Macho	31.25	5	5
43	Macho	29.16	5	5
44	Fêmea	40.09	2	8
45	Juvenil	27.61	6	4
