Individuals	L	R	Laterality Index	
IND1	2	8	-0.6	R
IND2	2	8	-0.6	R
IND3	5	5	0	N
IND4	1	9	-0.8	R
IND5	3	7	-0.4	R
IND6	2	8	-0.6	R
IND7	5	5	0	N
IND8	4	6	-0.2	R
IND9	1	9	-0.8	R
IND10	4	6	-0.2	R
IND11	6	4	0.2	L
IND12	3	7	-0.4	R
IND13	8	2	0.6	L
IND14	7	3	0.4	L
IND15	7	3	0.4	L
IND16	5	5	0	N
IND17	3	7	-0.4	R
IND18	1	9	-0.8	R
IND19	3	7	-0.4	R
IND20	3	7	-0.4	R
IND21	5	5	0	N
IND22	3	7	-0.4	R
IND23	4	6	-0.2	R
IND24	6	4	0.2	L
IND25	3	7	-0.4	R
IND26	6	4	0.2	L
IND27	8	2	0.6	L
IND28	5	5	0	N
IND29	9	1	0.8	L
IND30	8	2	0.6	L
IND31	1	9	-0.8	R
IND32	4	6	-0.2	R
IND33	7	3	0.4	L
IND34	4	6	-0.2	R
IND35	2	8	-0.6	R
IND36	0	10	-1	R
IND37	3	7	-0.4	R
IND38	4	6	-0.2	R
IND39	6	4	0.2	L
IND40	2	8	-0.6	R
IND41	7	3	0.4	L
IND42	5	5	0	N
IND43	5	5	0	N
IND44	2	8	-0.6	R
IND45	6	4	0.2	L
